type_chaussure,prix,adresse,image_link
Chaussures  Berluti,25.000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5071161_uploaded_image1_1733133217.jpg
Chaussure  2024,7.500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5070029_uploaded_image1_1733058330.jpg
Chaussures  Louis Vuitton,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026075_uploaded_image1_1730722099.jpg
Chaussures Dior,25.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5026064_uploaded_image1_1730721986.jpg
Chaussures homme,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5069955_uploaded_image1_1733055989.jpg
Chaussures homme,16.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5069281_uploaded_image1_1733000182.jpg
Chaussures homme,Prix.sur.demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5067554_uploaded_image1_1732892398.jpg
Baskets OG New Balance,25.000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5066515_uploaded_image1_1732833532.jpg
Tapettes homme,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019757_uploaded_image1_1730385238.jpg
Tapettes Louboutin,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019761_uploaded_image1_1730385361.jpg
Chaussures homme,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019768_uploaded_image1_1730385463.jpg
Chaussures Nike Air More,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019772_uploaded_image1_1730385618.jpg
Chaussures homme,20.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5019728_uploaded_image1_1730384069.jpg
Des chaussures de classes,15.000,"Cotonou, Bénin",https://images.coinafrique.com/thumb_5064063_uploaded_image1_1732706598.jpg
Chaussures,Prix.sur.demande,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5062606_uploaded_image1_1732629876.jpg
Chaussures homme,12.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017620_uploaded_image1_1730275469.jpg
Chaussures homme,11.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017615_uploaded_image1_1730275370.jpg
Chaussures homme,15.000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5017612_uploaded_image1_1730275246.jpg
